pathway_type,pre_primary_type,syn_count,pct_of_total,rank
L1,R1-6,60857,33.52744140947806,1
L1,L5,35308,19.45194310080765,2
L1,C2,26940,14.84183038222947,3
L1,Mi1,23962,13.201185583481164,4
L1,Tm3,17552,9.669777537820774,5
L1,C3,2485,1.3690404045968907,6
L1,Lawf1,1899,1.0462002930903402,7
L1,Dm1,1653,0.9106735568606278,8
L1,R8,1607,0.8853311590290556,9
L1,L2,1550,0.8539286225855857,10
L1,L4,547,0.30135416551891314,11
L1,L3,341,0.18786429696882886,12
L1,R7,249,0.1371795013056844,13
L1,OA-AL2b2,218,0.1201009288539727,14
L1,Lai,179,0.09861498286633538,15
L1,Lawf2,175,0.09641129609837258,16
L1,Dm18,172,0.09475853102240048,17
L1,Dm10,143,0.07878180195467016,18
L1,Dm6,135,0.07437442841874456,19
L1,T2,122,0.06721244642286546,20
L1,cM15,117,0.06445783796291195,21
L1,Mi4,112,0.06170322950295845,22
L1,Tm2,107,0.058948621043004946,23
L1,Dm9,105,0.057846777659023546,24
L1,T1,96,0.05288848243110724,25
L1,Mi15,94,0.05178663904712584,26
L1,TmY3,87,0.047930187203190935,27
L1,Tm5c,76,0.04187004859129324,28
L1,Dm8b,72,0.03966636182333043,29
L1,l-LNv,71,0.03911544013133973,30
L1,Mi10,69,0.03801359674735833,31
L1,Tm1,63,0.03470806659541413,32
L1,Dm13,59,0.03250437982745132,33
L1,Dm11,51,0.02809700629152572,34
L1,Tm21,48,0.02644424121555362,35
L1,Mi2,48,0.02644424121555362,36
L1,Mi9,44,0.02424055444759082,37
L1,Dm2,44,0.02424055444759082,38
L1,OA-AL2i3,42,0.02313871106360942,39
L1,Mi13,41,0.02258778937161872,40
L1,aMe4,40,0.02203686767962802,41
L1,MeMe_e07,36,0.019833180911665214,42
L1,L1,35,0.019282259219674514,43
L1,MeMe_e11,32,0.017629494143702414,44
L1,DmDRA1,32,0.017629494143702414,45
L1,Tm25,31,0.017078572451711713,46
L1,Sm05,30,0.016527650759721013,47
L1,LMa5,29,0.015976729067730313,48
L1,Dm8a,27,0.014874885683748913,49
L1,Dm17,25,0.01377304229976751,50
L1,Tm20,24,0.01322212060777681,51
L1,Mi14,24,0.01322212060777681,52
L1,Tm4,21,0.01156935553180471,53
L1,Dm12,19,0.01046751214782331,54
L1,Dm4,19,0.01046751214782331,55
L1,Dm16,18,0.009916590455832607,56
L1,Tm27,18,0.009916590455832607,57
L1,PDt,17,0.009365668763841907,58
L1,Dm15,16,0.008814747071851207,59
L1,Sm20,16,0.008814747071851207,60
L1,T2a,15,0.008263825379860507,61
L1,Dm20,13,0.007161981995879106,62
L1,TmY5a,13,0.007161981995879106,63
L1,Tm16,12,0.006611060303888405,64
L1,Y3,12,0.006611060303888405,65
L1,L1-3,10,0.005509216919907005,66
L1,Sm01,10,0.005509216919907005,67
L1,Tm9,10,0.005509216919907005,68
L1,MLt1,9,0.004958295227916304,69
L1,Sm30,9,0.004958295227916304,70
L1,TmY9q__perp,8,0.004407373535925603,71
L1,TmY14,8,0.004407373535925603,72
L1,Sm21,7,0.003856451843934903,73
L1,Sm39,7,0.003856451843934903,74
L1,Dm14,7,0.003856451843934903,75
L1,cML01,7,0.003856451843934903,76
L1,Pm14,7,0.003856451843934903,77
L1,aMe17c,7,0.003856451843934903,78
L1,TmY31,7,0.003856451843934903,79
L1,LatB,7,0.003856451843934903,80
L1,Sm07,6,0.0033055301519442025,81
L1,Dm19,6,0.0033055301519442025,82
L1,TmY10,6,0.0033055301519442025,83
L1,MTe07,6,0.0033055301519442025,84
L1,Tm5f,5,0.0027546084599535023,85
L1,cM05,5,0.0027546084599535023,86
L1,Dm3v,5,0.0027546084599535023,87
L1,TmY15,5,0.0027546084599535023,88
L1,T3,5,0.0027546084599535023,89
L1,MLt3,5,0.0027546084599535023,90
L1,Tm5e,4,0.0022036867679628017,91
L1,aMe12,4,0.0022036867679628017,92
L1,Sm02,4,0.0022036867679628017,93
L1,Dm8,4,0.0022036867679628017,94
L1,TmY11,4,0.0022036867679628017,95
L1,LC14b,4,0.0022036867679628017,96
L1,Sm32,3,0.0016527650759721013,97
L1,T4b,3,0.0016527650759721013,98
L1,Tm8a,3,0.0016527650759721013,99
L1,MeMe_e12,3,0.0016527650759721013,100
