pathway_type,pre_primary_type,syn_count,pct_of_total,rank
Mi9,Mi4,67020,19.376830491764412,1
Mi9,L3,66225,19.146979995778846,2
Mi9,Tm2,21704,6.275063100466351,3
Mi9,Dm12,16023,4.63257169456194,4
Mi9,C3,15746,4.552485421117912,5
Mi9,Mi10,15662,4.52819933097604,6
Mi9,Tm16,15100,4.365713823122093,7
Mi9,Mi1,11408,3.298282337362704,8
Mi9,Dm15,9721,2.8105366936801235,9
Mi9,TmY16,9563,2.7648557146037462,10
Mi9,Pm06,9133,2.6405340626870246,11
Mi9,Tm20,7946,2.297348479372725,12
Mi9,Tm1,7577,2.1906631548209337,13
Mi9,Dm20,7553,2.183724271923256,14
Mi9,T4a,7118,2.0579570194028514,15
Mi9,T4b,5865,1.6956895081199386,16
Mi9,L4,4582,1.324748393214929,17
Mi9,T4c,4149,1.1995593809359975,18
Mi9,Dm16,3684,1.065118524793496,19
Mi9,Mi13,2941,0.8503022750862301,20
Mi9,Dm3v,2384,0.6892623678359648,21
Mi9,Tm9,2316,0.6696021996258785,22
Mi9,TmY3,1720,0.49728660766688737,23
Mi9,R8,1348,0.38973392275288615,24
Mi9,Dm3p,1273,0.36804991369764395,25
Mi9,L2,1221,0.3530156674193427,26
Mi9,Mi14,1125,0.3252601358286327,27
Mi9,Dm6,1087,0.31427357124064337,28
Mi9,Tm5e,1061,0.3067564481014927,29
Mi9,Tm3,988,0.2856506792877237,30
Mi9,Dm14,886,0.2561604269725943,31
Mi9,Dm17,750,0.21684009055242182,32
Mi9,Pm05,674,0.19486696137644308,33
Mi9,Dm4,673,0.1945778412557065,34
Mi9,R7,669,0.19342136077276026,35
Mi9,Dm19,650,0.18792807847876558,36
Mi9,Tm4,595,0.17202647183825465,37
Mi9,Tm27,586,0.16942439075162558,38
Mi9,Dm3q,559,0.1616181474917384,39
Mi9,CT1,558,0.16132902737100183,40
Mi9,Y3,554,0.16017254688805557,41
Mi9,Pm03,546,0.1578595859221631,42
Mi9,MLt1,487,0.1408014987987059,43
Mi9,Pm08,461,0.13328437565955528,44
Mi9,Dm10,461,0.13328437565955528,45
Mi9,TmY11,454,0.13126053481439934,46
Mi9,T4d,437,0.1263454927618778,47
Mi9,Tm7,393,0.11362420744946904,48
Mi9,Lawf1,385,0.11131124648357653,49
Mi9,L5,380,0.10986564587989373,50
Mi9,OA-AL2i1,351,0.10148116237853341,51
Mi9,T1,350,0.10119204225779685,52
Mi9,TmY5a,346,0.1000355617748506,53
Mi9,Dm9,334,0.09656612032601185,54
Mi9,T2,330,0.0954096398430656,55
Mi9,Mi9,317,0.09165107827349028,56
Mi9,Mi15,310,0.08962723742833435,57
Mi9,Tm5c,301,0.08702515634170528,58
Mi9,MeMe_e07,295,0.08529043561728591,59
Mi9,Pm02,290,0.0838448350136031,60
Mi9,Pm04,269,0.07777331247813529,61
Mi9,Dm2,264,0.07632771187445248,62
Mi9,TmY15,242,0.0699670692182481,63
Mi9,Dm13,230,0.06649762776940936,64
Mi9,cML01,227,0.06563026740719967,65
Mi9,T2a,226,0.0653411472864631,66
Mi9,TmY10,213,0.061582585716887794,67
Mi9,C2,202,0.05840226438878561,68
Mi9,LMa5,191,0.05522194306068342,69
Mi9,MeMe_e11,186,0.05377634245700061,70
Mi9,TmY9q__perp,180,0.052041621732581235,71
Mi9,Mi2,180,0.052041621732581235,72
Mi9,Sm05,173,0.0500177808874253,73
Mi9,Y1,171,0.04943954064595217,74
Mi9,Tm21,169,0.04886130040447905,75
Mi9,Sm32,166,0.04799394004226936,76
Mi9,Tm5f,157,0.0453918589556403,77
Mi9,cM15,148,0.04278977786901124,78
Mi9,Pm10,145,0.04192241750680155,79
Mi9,MLt2,142,0.041055057144591865,80
