pathway_type,pre_primary_type,syn_count,pct_of_total,rank
R1-6,L4,9116,33.585086394282136,1
R1-6,Lawf1,6774,24.956710754153924,2
R1-6,Lai,3826,14.095715285709023,3
R1-6,L2,2315,8.528902479460635,4
R1-6,R1-6,1625,5.986810595733707,5
R1-6,L1,1135,4.181556939174004,6
R1-6,C3,733,2.700512102567881,7
R1-6,Lawf2,425,1.565781232730354,8
R1-6,L1-3,263,0.9689422687249014,9
R1-6,L3,253,0.9321003573665402,10
R1-6,C2,106,0.3905242603986295,11
R1-6,T1,85,0.3131562465460708,12
R1-6,L5,18,0.06631544044505029,13
R1-6,R7,15,0.05526286703754191,14
R1-6,Dm9,14,0.051578675901705784,15
R1-6,Mi1,11,0.0405261024941974,16
R1-6,Lat,11,0.0405261024941974,17
R1-6,R8,10,0.03684191135836127,18
R1-6,Mi15,10,0.03684191135836127,19
R1-6,Mi4,9,0.033157720222525146,20
R1-6,Tm2,8,0.02947352908668902,21
R1-6,Mi13,7,0.025789337950852892,22
R1-6,Mi9,7,0.025789337950852892,23
R1-6,LatB,7,0.025789337950852892,24
R1-6,Tm20,6,0.02210514681501676,25
R1-6,Dm14,6,0.02210514681501676,26
R1-6,Dm20,6,0.02210514681501676,27
R1-6,Mi2,5,0.018420955679180635,28
R1-6,Tm5c,5,0.018420955679180635,29
R1-6,Tm4,5,0.018420955679180635,30
R1-6,Pm08,4,0.01473676454334451,31
R1-6,LC14b,4,0.01473676454334451,32
R1-6,Dm10,3,0.01105257340750838,33
R1-6,Dm15,3,0.01105257340750838,34
R1-6,Pm03,3,0.01105257340750838,35
R1-6,LT33,3,0.01105257340750838,36
R1-6,cM05,3,0.01105257340750838,37
R1-6,OA-AL2b2,2,0.007368382271672255,38
R1-6,OA-AL2i3,2,0.007368382271672255,39
R1-6,Pm01,2,0.007368382271672255,40
R1-6,Pm05,2,0.007368382271672255,41
R1-6,Pm06,2,0.007368382271672255,42
R1-6,T2,2,0.007368382271672255,43
R1-6,T3,2,0.007368382271672255,44
R1-6,Tm3,2,0.007368382271672255,45
R1-6,aMe4,2,0.007368382271672255,46
R1-6,cM07,2,0.007368382271672255,47
R1-6,Tm1,2,0.007368382271672255,48
R1-6,cM15,2,0.007368382271672255,49
R1-6,Mi14,2,0.007368382271672255,50
R1-6,Dm6,2,0.007368382271672255,51
R1-6,Dm17,2,0.007368382271672255,52
R1-6,Dm2,2,0.007368382271672255,53
R1-6,Li10,2,0.007368382271672255,54
R1-6,Dm19,2,0.007368382271672255,55
R1-6,MLt1,2,0.007368382271672255,56
R1-6,aMe12,1,0.0036841911358361274,57
R1-6,Dm8b,1,0.0036841911358361274,58
R1-6,Tm16,1,0.0036841911358361274,59
R1-6,Dm8a,1,0.0036841911358361274,60
R1-6,LT61a,1,0.0036841911358361274,61
R1-6,LMt4,1,0.0036841911358361274,62
R1-6,cL21,1,0.0036841911358361274,63
R1-6,LMt3,1,0.0036841911358361274,64
R1-6,LMa4,1,0.0036841911358361274,65
R1-6,TmY10,1,0.0036841911358361274,66
R1-6,TmY20,1,0.0036841911358361274,67
R1-6,Tlp4,1,0.0036841911358361274,68
R1-6,TmY9q__perp,1,0.0036841911358361274,69
R1-6,Y1,1,0.0036841911358361274,70
R1-6,Y11,1,0.0036841911358361274,71
R1-6,Y3,1,0.0036841911358361274,72
R1-6,TmY3,1,0.0036841911358361274,73
R1-6,T5b,1,0.0036841911358361274,74
R1-6,T5c,1,0.0036841911358361274,75
R1-6,T5a,1,0.0036841911358361274,76
R1-6,MeMe_e13,1,0.0036841911358361274,77
R1-6,MeMe_e07,1,0.0036841911358361274,78
R1-6,MLt3,1,0.0036841911358361274,79
R1-6,Pm04,1,0.0036841911358361274,80
R1-6,DmDRA1,1,0.0036841911358361274,81
R1-6,Li33,1,0.0036841911358361274,82
R1-6,Li21,1,0.0036841911358361274,83
R1-6,Pm09,1,0.0036841911358361274,84
R1-6,Li20,1,0.0036841911358361274,85
R1-6,Dm13,1,0.0036841911358361274,86
R1-6,Dm11,1,0.0036841911358361274,87
R1-6,Sm01,1,0.0036841911358361274,88
R1-6,Sm30,1,0.0036841911358361274,89
R1-6,Li14,1,0.0036841911358361274,90
R1-6,Dm18,1,0.0036841911358361274,91
R1-6,T4a,1,0.0036841911358361274,92
R1-6,T4c,1,0.0036841911358361274,93
R1-6,DmDRA2,1,0.0036841911358361274,94
