pathway_type,pre_primary_type,syn_count,pct_of_total,rank
T4,Mi1,252740,29.74006566019086,1
T4,Tm3,87113,10.250638362966711,2
T4,Mi9,70250,8.266359154183778,3
T4,CT1,55642,6.54742713248532,4
T4,TmY15,41616,4.896979395879176,5
T4,Mi4,38319,4.509019450949014,6
T4,T4a,24764,2.913994563618606,7
T4,T4b,23685,2.787027993834061,8
T4,T4c,19466,2.2905757622112657,9
T4,Y12,16676,1.962274807902757,10
T4,T4d,16648,1.9589800313003778,11
T4,Y11,16596,1.9528611604673876,12
T4,C3,15858,1.8660202628761047,13
T4,Y1,15101,1.7769436240189214,14
T4,LPi12,11193,1.317086946801125,15
T4,Pm04,9913,1.1664685878352141,16
T4,Tlp4,9839,1.1577609639574973,17
T4,LMa4,9814,1.1548191991339445,18
T4,Tlp1,9183,1.080569054987468,19
T4,Tlp14,7875,0.9266559194191779,20
T4,LPi10,6916,0.8138098207876869,21
T4,LPi13,6583,0.7746255133379617,22
T4,Mi10,6230,0.7330877940293942,23
T4,LPi07,5857,0.6891966628619841,24
T4,VCH,5460,0.6424814374639634,25
T4,cM15,5222,0.6144758363437394,26
T4,LPi15,4751,0.5590529870680019,27
T4,Am1,4464,0.5252815268936141,28
T4,DCH,4226,0.49727592577338997,29
T4,T5b,3770,0.44361813539178424,30
T4,T5c,3687,0.43385147617758846,31
T4,LPi14,3564,0.41937799324570796,32
T4,T5a,3047,0.35854229669463306,33
T4,T5d,2779,0.32700657778614545,34
T4,LPi09,1733,0.2039231375686902,35
T4,TmY14,1358,0.159796665215396,36
T4,LPi11,1235,0.14532318228351554,37
T4,TmY5a,1125,0.13237941705988257,38
T4,Tm27,1079,0.12696656978454515,39
T4,LLPt,918,0.10802160432086418,40
T4,TmY16,851,0.10013767459374227,41
T4,OA-AL2i1,743,0.08742925055599356,42
T4,C2,728,0.08566419166186179,43
T4,TmY3,651,0.07660355600531871,44
T4,Tm2,626,0.07366179118176576,45
T4,H1,594,0.069896332207618,46
T4,TmY4,593,0.06977866161467587,47
T4,Y3,580,0.06824894390642834,48
T4,cLP02,540,0.06354212018874363,49
T4,cLP03,528,0.062130073073438215,50
T4,LLPC1,508,0.059776661214595864,51
T4,LPC1,479,0.056364214019274446,52
T4,Tlp5,474,0.055775861054563856,53
T4,TmY20,469,0.05518750808985327,54
T4,LPLC2,461,0.05424614334631632,55
T4,LPi05,450,0.05295176682395303,56
T4,Pm01,413,0.04859795488509466,57
T4,LPLC1,390,0.045891531247425954,58
T4,LPC2,383,0.04506783709683113,59
T4,LPi02,376,0.044244142946236305,60
T4,Y4,370,0.043538119388583596,61
T4,LLPC3,356,0.04189073108739395,62
T4,Pm07,314,0.036948566183825,63
T4,LPi06,312,0.03671322499794077,64
T4,MeLp2,304,0.03577186025440382,65
T4,LLPC2,298,0.03506583669675112,66
T4,TmY9q,287,0.03377146017438782,67
T4,TmY31,282,0.03318310720967723,68
T4,LPi04,281,0.03306543661673511,69
T4,H2,280,0.03294776602379299,70
T4,T2,275,0.0323594130590824,71
T4,LC14b,274,0.03224174246614029,72
T4,cLP01,256,0.030123671793182167,73
T4,Pm09,239,0.028123271713166163,74
T4,HSN,235,0.02765258934139769,75
T4,VS1,223,0.02624054222609228,76
T4,HSE,213,0.0250638362966711,77
T4,LPT23,204,0.024004800960192037,78
