pathway_type,cell_rank,root_id,norm_robustness,in_deg,in_strength,sum_w2,nt_type,pre_primary_type,syn_count,pct_of_cell_inputs,total_input_syn
R1-6,1,720575940599744172,0.0,2.0,2.0,2.0,,L4,2,100.0,2
R1-6,2,720575940601049097,0.0,1.0,1.0,1.0,GLUT,Lawf1,1,100.0,1
R1-6,3,720575940602289198,0.0,1.0,1.0,1.0,ACH,L4,1,100.0,1
R1-6,4,720575940603114869,0.0,2.0,2.0,2.0,,L4,2,100.0,2
R1-6,5,720575940603449010,0.0,2.0,2.0,2.0,ACH,L2,1,50.0,2
R1-6,5,720575940603449010,0.0,2.0,2.0,2.0,ACH,L4,1,50.0,2
R1-6,6,720575940604621251,0.0,1.0,1.0,1.0,ACH,L2,1,100.0,1
R1-6,7,720575940604984800,0.0,2.0,2.0,2.0,,L4,1,50.0,2
R1-6,7,720575940604984800,0.0,2.0,2.0,2.0,,Lai,1,50.0,2
R1-6,8,720575940605364448,0.0,1.0,1.0,1.0,,L4,1,100.0,1
R1-6,10,720575940605400032,0.0,1.0,1.0,1.0,ACH,R7,1,100.0,1
L1,1,720575940627444306,7.7541744324329756,31.0,159.0,2419.0,GABA,R1-6,40,25.157232704402517,159
L1,1,720575940627444306,7.7541744324329756,31.0,159.0,2419.0,GABA,L5,32,20.12578616352201,159
L1,1,720575940627444306,7.7541744324329756,31.0,159.0,2419.0,GABA,Mi1,20,12.578616352201259,159
L1,1,720575940627444306,7.7541744324329756,31.0,159.0,2419.0,GABA,C2,19,11.949685534591195,159
L1,1,720575940627444306,7.7541744324329756,31.0,159.0,2419.0,GABA,Tm3,17,10.69182389937107,159
L1,1,720575940627444306,7.7541744324329756,31.0,159.0,2419.0,GABA,C3,9,5.660377358490566,159
L1,1,720575940627444306,7.7541744324329756,31.0,159.0,2419.0,GABA,Dm18,6,3.7735849056603774,159
L1,1,720575940627444306,7.7541744324329756,31.0,159.0,2419.0,GABA,Lawf1,4,2.5157232704402515,159
L1,1,720575940627444306,7.7541744324329756,31.0,159.0,2419.0,GABA,Mi13,2,1.2578616352201257,159
L1,1,720575940627444306,7.7541744324329756,31.0,159.0,2419.0,GABA,Dm1,2,1.2578616352201257,159
L1,2,720575940631123983,7.759777850033807,14.0,98.0,1618.0,GLUT,L5,30,30.612244897959183,98
L1,2,720575940631123983,7.759777850033807,14.0,98.0,1618.0,GLUT,Tm3,22,22.448979591836736,98
L1,2,720575940631123983,7.759777850033807,14.0,98.0,1618.0,GLUT,C2,18,18.367346938775512,98
L1,2,720575940631123983,7.759777850033807,14.0,98.0,1618.0,GLUT,Mi1,15,15.306122448979592,98
L1,2,720575940631123983,7.759777850033807,14.0,98.0,1618.0,GLUT,R8,7,7.142857142857143,98
L1,2,720575940631123983,7.759777850033807,14.0,98.0,1618.0,GLUT,Dm1,4,4.081632653061225,98
L1,2,720575940631123983,7.759777850033807,14.0,98.0,1618.0,GLUT,C3,1,1.0204081632653061,98
L1,2,720575940631123983,7.759777850033807,14.0,98.0,1618.0,GLUT,L2,1,1.0204081632653061,98
L1,3,720575940637932400,7.752926915073643,17.0,133.0,2281.0,GLUT,L5,43,32.330827067669176,133
L1,3,720575940637932400,7.752926915073643,17.0,133.0,2281.0,GLUT,C2,26,19.548872180451127,133
L1,3,720575940637932400,7.752926915073643,17.0,133.0,2281.0,GLUT,Mi1,20,15.037593984962406,133
L1,3,720575940637932400,7.752926915073643,17.0,133.0,2281.0,GLUT,Tm3,20,15.037593984962406,133
L1,3,720575940637932400,7.752926915073643,17.0,133.0,2281.0,GLUT,R1-6,5,3.7593984962406015,133
L1,3,720575940637932400,7.752926915073643,17.0,133.0,2281.0,GLUT,C3,1,0.7518796992481203,133
L1,3,720575940637932400,7.752926915073643,17.0,133.0,2281.0,GLUT,Dm13,1,0.7518796992481203,133
L1,3,720575940637932400,7.752926915073643,17.0,133.0,2281.0,GLUT,Dm4,1,0.7518796992481203,133
L1,3,720575940637932400,7.752926915073643,17.0,133.0,2281.0,GLUT,Mi4,1,0.7518796992481203,133
L1,4,720575940623606296,7.750735010723273,11.0,115.0,2231.0,GLUT,L5,34,29.565217391304348,115
L1,4,720575940623606296,7.750735010723273,11.0,115.0,2231.0,GLUT,R1-6,33,28.695652173913043,115
L1,4,720575940623606296,7.750735010723273,11.0,115.0,2231.0,GLUT,C2,14,12.173913043478262,115
L1,4,720575940623606296,7.750735010723273,11.0,115.0,2231.0,GLUT,Mi1,14,12.173913043478262,115
L1,4,720575940623606296,7.750735010723273,11.0,115.0,2231.0,GLUT,Tm3,9,7.826086956521739,115
L1,4,720575940623606296,7.750735010723273,11.0,115.0,2231.0,GLUT,Dm10,2,1.7391304347826086,115
L1,4,720575940623606296,7.750735010723273,11.0,115.0,2231.0,GLUT,Dm18,2,1.7391304347826086,115
L1,5,720575940619929680,7.750713104500173,20.0,129.0,2075.0,GLUT,R1-6,39,30.232558139534884,129
L1,5,720575940619929680,7.750713104500173,20.0,129.0,2075.0,GLUT,L5,31,24.031007751937985,129
L1,5,720575940619929680,7.750713104500173,20.0,129.0,2075.0,GLUT,C2,23,17.829457364341085,129
L1,5,720575940619929680,7.750713104500173,20.0,129.0,2075.0,GLUT,Mi1,18,13.953488372093023,129
L1,5,720575940619929680,7.750713104500173,20.0,129.0,2075.0,GLUT,Tm3,11,8.527131782945736,129
L1,5,720575940619929680,7.750713104500173,20.0,129.0,2075.0,GLUT,Dm1,2,1.550387596899225,129
L1,5,720575940619929680,7.750713104500173,20.0,129.0,2075.0,GLUT,Dm8b,2,1.550387596899225,129
L1,5,720575940619929680,7.750713104500173,20.0,129.0,2075.0,GLUT,Lawf1,2,1.550387596899225,129
L1,5,720575940619929680,7.750713104500173,20.0,129.0,2075.0,GLUT,Mi10,1,0.7751937984496124,129
L1,6,720575940637617341,7.763755533970719,25.0,181.0,3023.0,GLUT,R1-6,58,32.04419889502763,181
L1,6,720575940637617341,7.763755533970719,25.0,181.0,3023.0,GLUT,C2,25,13.812154696132596,181
L1,6,720575940637617341,7.763755533970719,25.0,181.0,3023.0,GLUT,L5,25,13.812154696132596,181
L1,6,720575940637617341,7.763755533970719,25.0,181.0,3023.0,GLUT,Mi1,19,10.497237569060774,181
L1,6,720575940637617341,7.763755533970719,25.0,181.0,3023.0,GLUT,Tm3,16,8.839779005524862,181
L1,6,720575940637617341,7.763755533970719,25.0,181.0,3023.0,GLUT,C3,6,3.314917127071823,181
L1,6,720575940637617341,7.763755533970719,25.0,181.0,3023.0,GLUT,Dm1,6,3.314917127071823,181
L1,6,720575940637617341,7.763755533970719,25.0,181.0,3023.0,GLUT,L3,3,1.6574585635359116,181
L1,6,720575940637617341,7.763755533970719,25.0,181.0,3023.0,GLUT,Mi13,3,1.6574585635359116,181
L1,6,720575940637617341,7.763755533970719,25.0,181.0,3023.0,GLUT,Mi2,2,1.1049723756906078,181
L1,7,720575940627311491,7.768989614564825,16.0,102.0,1638.0,GLUT,C2,21,20.58823529411765,102
L1,7,720575940627311491,7.768989614564825,16.0,102.0,1638.0,GLUT,L5,21,20.58823529411765,102
L1,7,720575940627311491,7.768989614564825,16.0,102.0,1638.0,GLUT,Mi1,16,15.686274509803921,102
L1,7,720575940627311491,7.768989614564825,16.0,102.0,1638.0,GLUT,Tm3,11,10.784313725490197,102
L1,7,720575940627311491,7.768989614564825,16.0,102.0,1638.0,GLUT,R1-6,6,5.882352941176471,102
L1,7,720575940627311491,7.768989614564825,16.0,102.0,1638.0,GLUT,Dm9,2,1.9607843137254901,102
L1,7,720575940627311491,7.768989614564825,16.0,102.0,1638.0,GLUT,C3,1,0.9803921568627451,102
L1,7,720575940627311491,7.768989614564825,16.0,102.0,1638.0,GLUT,T1,1,0.9803921568627451,102
L1,8,720575940612019150,7.7411287964958175,18.0,125.0,2055.0,GLUT,R1-6,63,50.4,125
L1,8,720575940612019150,7.7411287964958175,18.0,125.0,2055.0,GLUT,L5,27,21.6,125
L1,8,720575940612019150,7.7411287964958175,18.0,125.0,2055.0,GLUT,C2,11,8.8,125
L1,8,720575940612019150,7.7411287964958175,18.0,125.0,2055.0,GLUT,Mi1,9,7.2,125
